cell_id,latitude,longitude,solar_score,specific_yield_kwh_kwp,reference_yield_800w_kwh,reference_energy_value_eur,sample_bucket,sample_grid_m,pvgis_version
CRS3035RES100mN3096300E4094000,50.9334548,6.7704677,73,762.3,609.8,145.14,E4094000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096300E4094400,50.9336133,6.7761530,73,762.3,609.8,145.14,E4094000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096400E4094700,50.9346300,6.7803548,73,762.3,609.8,145.14,E4094000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096400E4115900,50.9426224,7.0817331,52,733.0,586.4,139.56,E4115000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096500E4114900,50.9431611,7.0674583,52,732.6,586.1,139.49,E4114000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096900E4101800,50.9418839,6.8809759,73,761.4,609.2,144.98,E4101000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4099300,50.9418185,6.8453741,71,760.4,608.4,144.79,E4099000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4101600,50.9427052,6.8780723,69,758.9,607.1,144.49,E4101000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4113700,50.9472179,7.0501114,48,729.6,583.7,138.91,E4113000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4118100,50.9487956,7.1126786,41,712.4,569.9,135.64,E4118000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097100E4097600,50.9420552,6.8211452,71,760.5,608.4,144.79,E4097000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097100E4097800,50.9421332,6.8239885,71,760.5,608.4,144.79,E4097000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097200E4113500,50.9489416,7.0471533,48,729.6,583.7,138.91,E4113000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097300E4095100,50.9428693,6.7854810,74,763.7,610.9,145.4,E4095000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097300E4097500,50.9438120,6.8196006,71,760.5,608.4,144.79,E4097000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097400E4116900,50.9519611,7.0953897,43,716.9,573.5,136.5,E4116000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097400E4117300,50.9521036,7.1010782,41,712.5,570.0,135.65,E4117000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097400E4117900,50.9523170,7.1096109,41,712.5,570.0,135.65,E4117000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097700E4120800,50.9560338,7.1506882,38,707.6,566.1,134.73,E4120000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097900E4098200,50.9494727,6.8291845,71,760.5,608.4,144.79,E4098000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097900E4110600,50.9541686,7.0055112,49,729.6,583.7,138.92,E4110000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097900E4117400,50.9566298,7.1022200,41,712.5,570.0,135.65,E4117000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097900E4121500,50.9580747,7.1605343,42,713.4,570.7,135.84,E4121000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3098000E4099900,50.9510303,6.8532955,74,763.6,610.9,145.4,E4099000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098000E4120900,50.9587632,7.1519452,40,711.3,569.0,135.42,E4120000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098000E4121900,50.9591122,7.1661689,43,714.9,571.9,136.12,E4121000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098100E4113100,50.9568790,7.0409503,49,729.8,583.8,138.95,E4113000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098100E4121800,50.9599756,7.1646916,43,714.9,571.9,136.12,E4121000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098200E4098000,50.9520886,6.8261567,74,763.5,610.8,145.38,E4098000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098400E4098300,50.9540014,6.8302999,74,763.5,610.8,145.38,E4098000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098400E4117800,50.9612626,7.1076293,41,712.7,570.1,135.69,E4117000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098500E4121100,50.9633238,7.1545147,43,714.9,571.9,136.12,E4121000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3098600E4101600,50.9570728,6.8771061,67,753.7,603.0,143.51,E4101000N3098000,1000,PVGIS 5.3
