cell_id,latitude,longitude,building_count,total_footprint_m2,avg_footprint_m2,coverage_ratio,building_fit,source
CRS3035RES100mN3094600E4104600,50.9222958,6.9221518,24,3936.4,164.0,0.3936,0.9923,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095000E4107400,50.9269397,6.9617083,38,3937.4,103.6,0.3937,0.9922,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094100E4107300,50.9188201,6.9608156,39,3940.3,101.0,0.3940,0.9921,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110000E4113900,51.0640385,7.0455234,24,3713.9,154.7,0.3714,0.9921,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100800E4112100,50.9807621,7.0251743,31,3714.3,119.8,0.3714,0.9921,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100700E4120000,50.9826968,7.1376489,21,3942.0,187.7,0.3942,0.9920,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093900E4107600,50.9171360,6.9651959,26,3942.9,151.7,0.3943,0.9919,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3101900E4106400,50.9885285,6.9434188,21,3712.2,176.8,0.3712,0.9919,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106600E4112300,51.0329220,7.0246786,22,3944.3,179.3,0.3944,0.9919,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093100E4107400,50.9098771,6.9628234,33,3711.1,112.5,0.3711,0.9918,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094000E4107700,50.9180713,6.9665583,19,3945.4,207.7,0.3945,0.9918,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3102600E4119700,50.9996554,7.1323247,20,3946.0,197.3,0.3946,0.9918,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096600E4099100,50.9381492,6.8427750,37,3710.3,100.3,0.3710,0.9917,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100300E4116300,50.9777913,7.0852220,25,3947.3,157.9,0.3947,0.9917,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094600E4104100,50.9221066,6.9150464,33,3708.9,112.4,0.3709,0.9916,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097700E4107800,50.9513356,6.9658100,20,3948.8,197.4,0.3949,0.9916,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098300E4111400,50.9580545,7.0166574,32,3950.7,123.5,0.3951,0.9915,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099700E4113900,50.9715384,7.0514155,25,3950.3,158.0,0.3950,0.9915,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095600E4103800,50.9309728,6.9101861,33,3950.0,119.7,0.3950,0.9915,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098700E4110100,50.9611688,6.9979360,36,3707.1,103.0,0.3707,0.9914,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095300E4111400,50.9311128,7.0183875,28,3705.4,132.3,0.3705,0.9913,Geobasis NRW / ALKIS vereinfacht
