cell_id,name,latitude,longitude,potential_score,housing_density_score,building_fit_score,solar_score,market_gap_score,campaign_score
CRS3035RES100mN3093400E4105900,Raster CRS3035RES100mN3093400E4105900,50.9120096,6.9413353,79,100,96,63,50,50
CRS3035RES100mN3095200E4105700,Raster CRS3035RES100mN3095200E4105700,50.9280987,6.9374289,79,100,96,63,50,50
CRS3035RES100mN3093000E4107800,Raster CRS3035RES100mN3093000E4107800,50.9091282,6.9685649,79,100,97,59,50,50
CRS3035RES100mN3098100E4104600,Raster CRS3035RES100mN3098100E4104600,50.9537259,6.9200686,79,100,99,57,50,50
CRS3035RES100mN3095900E4108100,Raster CRS3035RES100mN3095900E4108100,50.9352828,6.9711304,79,100,98,60,50,50
CRS3035RES100mN3095800E4105400,Raster CRS3035RES100mN3095800E4105400,50.9333739,6.9328094,79,100,95,63,50,50
CRS3035RES100mN3092700E4107000,Raster CRS3035RES100mN3092700E4107000,50.9061356,6.9573755,79,100,99,59,50,50
CRS3035RES100mN3093800E4104600,Raster CRS3035RES100mN3093800E4104600,50.9151118,6.9226275,79,100,97,63,50,50
CRS3035RES100mN3093900E4109300,Raster CRS3035RES100mN3093900E4109300,50.9177672,6.9893526,79,100,99,59,50,50
CRS3035RES100mN3095000E4106700,Raster CRS3035RES100mN3095000E4106700,50.926678,6.9517596,79,100,94,63,50,50
CRS3035RES100mN3095500E4104900,Raster CRS3035RES100mN3095500E4104900,50.9304912,6.9258805,79,100,97,63,50,50
CRS3035RES100mN3094900E4103800,Raster CRS3035RES100mN3094900E4103800,50.9246868,6.9106041,79,100,96,63,50,50
CRS3035RES100mN3093800E4104100,Raster CRS3035RES100mN3093800E4104100,50.9149225,6.9155232,79,100,95,63,50,50
CRS3035RES100mN3094400E4104600,Raster CRS3035RES100mN3094400E4104600,50.9204998,6.9222708,79,100,96,63,50,50
CRS3035RES100mN3096400E4110200,Raster CRS3035RES100mN3096400E4110200,50.9405506,7.0006928,79,100,97,59,50,50
CRS3035RES100mN3094600E4104300,Raster CRS3035RES100mN3094600E4104300,50.9221823,6.9178886,79,100,97,63,50,50
CRS3035RES100mN3093600E4105000,Raster CRS3035RES100mN3093600E4105000,50.9134668,6.9284297,79,100,95,63,50,50
CRS3035RES100mN3096000E4110000,Raster CRS3035RES100mN3096000E4110000,50.9368847,6.9980816,79,100,99,59,50,50
CRS3035RES100mN3107400E4102600,Raster CRS3035RES100mN3107400E4102600,51.0364769,6.8860245,79,95,98,66,50,50
CRS3035RES100mN3098800E4106900,Raster CRS3035RES100mN3098800E4106900,50.9608776,6.9523636,79,100,100,56,50,50
CRS3035RES100mN3095600E4106300,Raster CRS3035RES100mN3095600E4106300,50.9319162,6.9457205,79,100,94,63,50,50
CRS3035RES100mN3093900E4105000,Raster CRS3035RES100mN3093900E4105000,50.9161608,6.9282517,79,100,94,63,50,50
CRS3035RES100mN3094100E4107400,Raster CRS3035RES100mN3094100E4107400,50.9188574,6.9622366,79,100,100,59,50,50
CRS3035RES100mN3095600E4104100,Raster CRS3035RES100mN3095600E4104100,50.9310866,6.9144502,79,100,96,63,50,50
