cell_id,latitude,longitude,housing_units,mfh_share,building_count_zensus,mfh_buildings_zensus,source
CRS3035RES100mN3097600E4110400,50.9514008,7.0028408,153.00,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3097700E4104600,50.9501339,6.9203069,153.00,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3098400E4103300,50.9559265,6.9014024,153.00,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3099300E4106800,50.9653303,6.9506464,153.00,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3100000E4107900,50.9720275,6.9658822,153.00,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3100900E4106800,50.9796985,6.9497020,153.00,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3095200E4106700,50.9284741,6.9516417,152.50,0.8462,26,22,Zensus 2022 / Destatis
CRS3035RES100mN3097900E4104700,50.9519677,6.9216097,151.50,0.7778,27,21,Zensus 2022 / Destatis
CRS3035RES100mN3095400E4110100,50.9315333,6.9998511,150.50,0.6071,28,17,Zensus 2022 / Destatis
CRS3035RES100mN3097600E4105000,50.9493871,6.9260541,150.50,0.7241,29,21,Zensus 2022 / Destatis
CRS3035RES100mN3092700E4106100,50.9057986,6.9445900,148.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3095000E4107400,50.9269397,6.9617083,148.50,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3095300E4105900,50.9290720,6.9402123,148.50,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3095900E4105500,50.9343095,6.9341716,148.50,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3095900E4111400,50.9365012,7.0180416,148.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3097400E4106800,50.9482680,6.9517669,148.50,1.0000,24,24,Zensus 2022 / Destatis
CRS3035RES100mN3097800E4107100,50.9519723,6.9557971,148.50,1.0000,19,19,Zensus 2022 / Destatis
CRS3035RES100mN3097900E4106900,50.9527955,6.9528942,148.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3097900E4107100,50.9528703,6.9557382,148.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3098800E4107100,50.9609525,6.9552082,148.50,1.0000,26,26,Zensus 2022 / Destatis
CRS3035RES100mN3099100E4107300,50.9637213,6.9578762,148.50,0.7931,29,23,Zensus 2022 / Destatis
CRS3035RES100mN3098800E4110200,50.9621037,6.9993003,148.00,0.8462,26,22,Zensus 2022 / Destatis
CRS3035RES100mN3098900E4111100,50.9633328,7.0120438,147.50,0.6552,29,19,Zensus 2022 / Destatis
CRS3035RES100mN3099000E4111000,50.9641942,7.0105636,147.50,0.8519,27,23,Zensus 2022 / Destatis
CRS3035RES100mN3094700E4104800,50.9232694,6.9249346,147.00,0.8696,23,20,Zensus 2022 / Destatis
CRS3035RES100mN3095700E4106300,50.9328142,6.9456614,147.00,0.8696,23,20,Zensus 2022 / Destatis
CRS3035RES100mN3097500E4104600,50.9483379,6.9204260,147.00,0.8889,27,24,Zensus 2022 / Destatis
CRS3035RES100mN3099200E4107200,50.9645820,6.9563950,147.00,0.8636,22,19,Zensus 2022 / Destatis
CRS3035RES100mN3101100E4107700,50.9818311,6.9623902,147.00,0.8800,25,22,Zensus 2022 / Destatis
CRS3035RES100mN3094700E4110800,50.9255044,7.0102057,145.50,0.8571,21,18,Zensus 2022 / Destatis
CRS3035RES100mN3098800E4103000,50.9594042,6.8968960,145.50,0.8636,22,19,Zensus 2022 / Destatis
CRS3035RES100mN3099200E4106600,50.9643573,6.9478606,145.50,0.8500,20,17,Zensus 2022 / Destatis
CRS3035RES100mN3096200E4108300,50.9380513,6.9737979,145.00,0.7500,28,21,Zensus 2022 / Destatis
CRS3035RES100mN3093200E4106100,50.9102887,6.9442950,144.00,1.0000,16,16,Zensus 2022 / Destatis
CRS3035RES100mN3094200E4107200,50.9196808,6.9593359,144.00,1.0000,24,24,Zensus 2022 / Destatis
CRS3035RES100mN3095200E4106300,50.9283241,6.9459566,144.00,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3095200E4110000,50.9297003,6.9985457,144.00,0.7000,30,21,Zensus 2022 / Destatis
CRS3035RES100mN3095600E4105500,50.9316155,6.9343493,144.00,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3095700E4105400,50.9324759,6.9328687,144.00,1.0000,16,16,Zensus 2022 / Destatis
CRS3035RES100mN3096300E4110200,50.9396525,7.0007508,144.00,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3096400E4111000,50.9408448,7.0120665,144.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3096700E4106300,50.9417944,6.9450709,144.00,1.0000,19,19,Zensus 2022 / Destatis
CRS3035RES100mN3097500E4104900,50.9484513,6.9246916,144.00,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3098100E4105200,50.9539526,6.9286009,144.00,1.0000,16,16,Zensus 2022 / Destatis
CRS3035RES100mN3099400E4106900,50.9662657,6.9520098,144.00,1.0000,19,19,Zensus 2022 / Destatis
CRS3035RES100mN3099500E4108700,50.9678350,6.9775559,144.00,1.0000,16,16,Zensus 2022 / Destatis
CRS3035RES100mN3099500E4110600,50.9685373,7.0045841,144.00,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3096900E4110300,50.9450777,7.0018247,143.50,0.8462,26,22,Zensus 2022 / Destatis
CRS3035RES100mN3097200E4106900,50.9465094,6.9533066,143.50,0.8333,24,20,Zensus 2022 / Destatis
CRS3035RES100mN3093700E4104700,50.9142515,6.9241078,142.50,0.8500,20,17,Zensus 2022 / Destatis
CRS3035RES100mN3093800E4104700,50.9151496,6.9240484,142.50,0.8500,20,17,Zensus 2022 / Destatis
CRS3035RES100mN3094500E4104500,50.9213600,6.9207902,142.50,0.8696,23,20,Zensus 2022 / Destatis
CRS3035RES100mN3096100E4108400,50.9371905,6.9752780,142.50,0.8750,24,21,Zensus 2022 / Destatis
CRS3035RES100mN3096700E4110900,50.9435022,7.0104714,142.50,0.8500,20,17,Zensus 2022 / Destatis
CRS3035RES100mN3097500E4104700,50.9483757,6.9218479,142.50,0.8889,27,24,Zensus 2022 / Destatis
CRS3035RES100mN3099200E4110300,50.9657327,7.0004906,142.50,0.8571,21,18,Zensus 2022 / Destatis
CRS3035RES100mN3109800E4111000,51.0611821,7.0043006,142.50,0.8696,23,20,Zensus 2022 / Destatis
CRS3035RES100mN3096200E4106100,50.9372292,6.9425231,141.00,0.6667,36,24,Zensus 2022 / Destatis
CRS3035RES100mN3097400E4104900,50.9475533,6.9247511,141.00,0.7778,27,21,Zensus 2022 / Destatis
CRS3035RES100mN3098700E4104700,50.9591517,6.9211333,141.00,0.5312,32,17,Zensus 2022 / Destatis
CRS3035RES100mN3098700E4106900,50.9599796,6.9524226,141.00,0.8750,24,21,Zensus 2022 / Destatis
CRS3035RES100mN3100200E4115300,50.9765342,7.0710498,141.00,0.8846,26,23,Zensus 2022 / Destatis
CRS3035RES100mN3093400E4105900,50.9120096,6.9413353,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3093700E4105100,50.9144025,6.9297912,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3094300E4104300,50.9194883,6.9180672,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3094300E4104900,50.9197151,6.9265933,139.50,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3094300E4106800,50.9204293,6.9535929,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3094600E4103400,50.9218409,6.9050989,139.50,0.7600,25,19,Zensus 2022 / Destatis
CRS3035RES100mN3094600E4104200,50.9221445,6.9164675,139.50,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3095500E4104100,50.9301886,6.9145098,139.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3095500E4109900,50.9323576,6.9969502,139.50,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3095600E4106400,50.9319537,6.9471419,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3095900E4111500,50.9365378,7.0194632,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3096000E4111500,50.9374359,7.0194056,139.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3096100E4105400,50.9360679,6.9326315,139.50,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3096500E4105500,50.9396976,6.9338159,139.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3096500E4111000,50.9417429,7.0120087,139.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3097400E4104200,50.9472884,6.9147981,139.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3097600E4110300,50.9513640,7.0014188,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3098000E4106800,50.9536561,6.9514132,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3098300E4110200,50.9576135,6.9995906,139.50,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3098400E4104100,50.9562305,6.9127793,139.50,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3099100E4111000,50.9650922,7.0105057,139.50,0.7931,29,23,Zensus 2022 / Destatis
CRS3035RES100mN3099200E4110400,50.9657696,7.0019130,139.50,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3095000E4107100,50.9268277,6.9574446,139.00,0.8519,27,23,Zensus 2022 / Destatis
CRS3035RES100mN3096900E4103100,50.9423805,6.8994577,139.00,0.7895,19,15,Zensus 2022 / Destatis
CRS3035RES100mN3097300E4104600,50.9465419,6.9205451,139.00,0.8519,27,23,Zensus 2022 / Destatis
CRS3035RES100mN3097300E4106900,50.9474074,6.9532477,139.00,0.8333,24,20,Zensus 2022 / Destatis
CRS3035RES100mN3096300E4106100,50.9381273,6.9424640,138.50,0.8462,26,22,Zensus 2022 / Destatis
CRS3035RES100mN3093300E4106000,50.9111492,6.9428152,138.00,0.8571,21,18,Zensus 2022 / Destatis
CRS3035RES100mN3096800E4110400,50.9442164,7.0033045,138.00,0.8571,21,18,Zensus 2022 / Destatis
CRS3035RES100mN3098200E4103900,50.9543586,6.9100546,138.00,0.8500,20,17,Zensus 2022 / Destatis
CRS3035RES100mN3098300E4105200,50.9557486,6.9284821,138.00,0.8571,21,18,Zensus 2022 / Destatis
CRS3035RES100mN3098600E4106900,50.9590816,6.9524815,137.50,0.7667,30,23,Zensus 2022 / Destatis
CRS3035RES100mN3095300E4110100,50.9306352,6.9999091,136.50,0.7692,26,20,Zensus 2022 / Destatis
CRS3035RES100mN3097800E4107200,50.9520097,6.9572191,136.50,0.8636,22,19,Zensus 2022 / Destatis
CRS3035RES100mN3092700E4105900,50.9057235,6.9417488,135.00,1.0000,15,15,Zensus 2022 / Destatis
CRS3035RES100mN3093100E4105900,50.9093156,6.9415126,135.00,1.0000,15,15,Zensus 2022 / Destatis
CRS3035RES100mN3093200E4107800,50.9109242,6.9684478,135.00,0.7931,29,23,Zensus 2022 / Destatis
CRS3035RES100mN3093200E4107900,50.9109615,6.9698686,135.00,0.7778,27,21,Zensus 2022 / Destatis
CRS3035RES100mN3093400E4104500,50.9114819,6.9214445,135.00,1.0000,15,15,Zensus 2022 / Destatis
CRS3035RES100mN3093600E4104900,50.9134291,6.9270088,135.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3094600E4107100,50.9232356,6.9576797,135.00,0.7778,27,21,Zensus 2022 / Destatis
CRS3035RES100mN3095300E4109900,50.9305615,6.9970663,135.00,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3095700E4104500,50.9321361,6.9200761,135.00,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3097100E4107500,50.9458356,6.9618965,135.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3097900E4106800,50.9527581,6.9514721,135.00,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3098000E4106900,50.9536935,6.9528352,135.00,1.0000,15,15,Zensus 2022 / Destatis
CRS3035RES100mN3098000E4107300,50.9538431,6.9585235,135.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3098300E4104200,50.9553704,6.9142611,135.00,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3098300E4111800,50.9582010,7.0223464,135.00,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3098400E4106300,50.9570606,6.9440664,135.00,1.0000,18,18,Zensus 2022 / Destatis
CRS3035RES100mN3098600E4106400,50.9588942,6.9453704,135.00,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3098600E4110200,50.9603076,6.9994164,135.00,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3098800E4106800,50.9608402,6.9509413,135.00,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3099000E4107100,50.9627485,6.9550904,135.00,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3099300E4107100,50.9654426,6.9549137,135.00,1.0000,19,19,Zensus 2022 / Destatis
CRS3035RES100mN3100800E4108000,50.9792489,6.9668352,135.00,1.0000,15,15,Zensus 2022 / Destatis
CRS3035RES100mN3100900E4106900,50.9797359,6.9511249,135.00,1.0000,15,15,Zensus 2022 / Destatis
CRS3035RES100mN3101200E4106800,50.9823925,6.9495248,135.00,1.0000,15,15,Zensus 2022 / Destatis
CRS3035RES100mN3103400E4112100,51.0041114,7.0236761,135.00,1.0000,15,15,Zensus 2022 / Destatis
